Car Name,KM Driven,Fuel Type,Transmission,Ownership,Price,Location
2021 Tata ALTROZ XZ I-TURBO PETROL,57.21k km,Petrol,Manual,2nd owner,5.95 lakh,Huzur Tahsil Bhopal Madhya Pradesh
2016 Ford Ecosport,1.3L km,Diesel,Manual,1st owner,3.40 lakh,Airport Road Bhopal Madhya Pradesh
2017 Maruti Baleno DELTA PETROL 1.2,1.1L km,Petrol,Manual,1st owner,4.10 lakh,Gopal Nagar Bhopal Madhya Pradesh
2021 MG HECTOR PLUS,69.88k km,Petrol,Auto,1st owner,11.90 lakh,Mubarikpur Bhopal Madhya Pradesh
2018 Hyundai Eon ERA +,66.05k km,Petrol,Manual,2nd owner,2.32 lakh,"Arera Hills, Bhopal"
2015 Nissan Terrano XL D PLUS,83.23k km,Diesel,Manual,1st owner,4.02 lakh,"Arera Hills, Bhopal"
2022 Tata NEXON XZ PLUS PETROL DARK EDITION,14.17k km,Petrol,Manual,1st owner,9.39 lakh,Gulmohar Colony Bhopal MP
2014 Tata Safari Storme 2.2 VX 4X4,1.3L km,Diesel,Manual,1st owner,4.07 lakh,Avinash Nagar Bhopal Madhya Pradesh
2013 Toyota Etios GD,78.12k km,Diesel,Manual,1st owner,3.62 lakh,"C22,Narayan Nagar, Bhopal"
2016 Hyundai Verna FLUIDIC 1.4 CRDI 4S,69.25k km,Diesel,Manual,2nd owner,5.26L,"Arera Hills, Bhopal"
2016 Hyundai Creta S 1.4 DIESEL,1.2L km,Diesel,Manual,1st owner,7.22 lakh,"Peoples Mall Near by Karond by Bass, Bhopal"
2020 Tata Harrier XZA 2.0L,1.7L km,Diesel,Auto,1st owner,10.50 lakh,Arera Colony Bhopal
2015 Chevrolet Tavera NEO 3 10 STR BS III,88.62k km,Diesel,Manual,2nd owner,4.00 lakh,"Arera Hills, Bhopal"
2013 Renault Duster 85 PS RXE DIESEL,78.78k km,Diesel,Manual,2nd owner,3.21L,"Arera Hills, Bhopal"
2020 Maruti Baleno DELTA PETROL 1.2,56.98k km,Petrol,Manual,1st owner,5.53 lakh,Patel Nagar Bhopal Madhya Pradesh
2017 Hyundai Eon ERA +,41.37k km,Petrol,Manual,2nd owner,3.29 lakh,"Gas Quarters, Karond, Bhopal"
2016 Mahindra TUV300 T8,2.0L km,Diesel,Manual,1st owner,4.61 lakh,ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýý MP
2022 MG ASTOR SHARP EX 1.5 MT,36.74k km,Petrol,Manual,1st owner,11.30 lakh,Gulmohar Colony Bhopal Madhya Pradesh
2023 Skoda KUSHAQ STYLE 1.0L TSI MT,47.00k km,Petrol,Manual,1st owner,12.50L,Misrod Bhopal Madhya Pradesh
2012 Maruti Wagon R 1.0 LXI,58.05k km,Petrol,Manual,1st owner,2.47 lakh,"Peoples Mall Near by Karond by Bass, Bhopal"
2021 Mahindra Thar LX D AT 4WD HT,57.75k km,Diesel,Auto,1st owner,11.95 lakh,Shahpura Bhopal Madhya Pradesh
2015 Honda City 1.5L I-DTEC VX,62.38k km,Diesel,Manual,2nd owner,5.49 lakh,"Service Road, Sonagiri, Bhopal"
2017 Hyundai Xcent S 1.2,53.06k km,Petrol,Manual,1st owner,3.55 lakh,Bhopal Bhopal Division MP
